country,currency,currency_symbol,state,city,latitude,longitude,fiber_per_km,labor_per_km,connector_cost,maintenance_per_km,terrain_multiplier,estimated_total_project_cost
India,INR,₹,Andhra Pradesh,Anantapur,14.6783221,77.6065039,48330,7509,1473,6953,1.21,925783
India,INR,₹,Andhra Pradesh,Chittoor,13.325036,79.6480611,42090,9706,1144,3109,1.16,808697
India,INR,₹,Andhra Pradesh,East Godavari,16.9956639,81.7154378,28015,9730,1091,6857,1.36,650875
India,INR,₹,Andhra Pradesh,Guntur,16.2915189,80.4541588,40657,6754,778,3811,1.18,704687
India,INR,₹,Andhra Pradesh,Krishna,16.2135466,81.0277844,32436,9152,1052,4126,1.25,677486
India,INR,₹,Andhra Pradesh,Kurnool,15.8309251,78.0425373,41890,6070,1444,5462,1.02,819430
India,INR,₹,Andhra Pradesh,Nellore,14.4493717,79.9873763,43581,11400,970,5091,1.22,830727
India,INR,₹,Andhra Pradesh,Prakasam,15.5641955,80.0066786,46056,8459,1080,5281,1.09,842585
India,INR,₹,Andhra Pradesh,Srikakulam,18.2949307,83.8938844,40083,9497,1484,4985,1.0,842485
India,INR,₹,Andhra Pradesh,Visakhapatnam,17.6935526,83.2921297,80467,21930,3389,15783,2.68,1816029
India,INR,₹,Andhra Pradesh,Vizianagaram,18.1141255,83.4114389,39300,11889,1036,6150,1.0,800418
India,INR,₹,Andhra Pradesh,West Godavari,16.6443029,81.5885247,42235,7695,1043,4935,1.19,780285
India,INR,₹,Andhra Pradesh,YSR Kadapa,14.5395752,78.6582332,29919,10996,1477,6549,1.12,745275
India,INR,₹,Arunachal Pradesh,Tawang,27.5879186,91.863733,32408,11426,944,6953,1.02,702373
India,INR,₹,Arunachal Pradesh,West Kameng,27.2915853,92.4619174,39986,7443,1565,6695,1.29,837373
India,INR,₹,Arunachal Pradesh,East Kameng,27.557781,93.0753012,25419,7614,1542,4989,1.21,652641
India,INR,₹,Arunachal Pradesh,Papum Pare,27.2863667,93.6187716,32487,8442,1384,4020,1.14,718848
India,INR,₹,Arunachal Pradesh,Kurung Kumey,27.9863677,93.1578347,43846,10461,1555,6726,1.11,918564
India,INR,₹,Arunachal Pradesh,Kra Daadi,27.9635418,93.7665654,38395,9121,1707,6947,1.08,860977
India,INR,₹,Arunachal Pradesh,Lower Subansiri,27.6059753,93.8669707,29090,9090,1240,5115,1.21,669735
India,INR,₹,Arunachal Pradesh,Upper Subansiri,0.0,0.0,40284,9032,1289,3565,1.26,802967
India,INR,₹,Arunachal Pradesh,West Siang,0.0,0.0,42982,6192,1652,4846,1.32,862118
India,INR,₹,Arunachal Pradesh,East Siang,0.0,0.0,45850,11994,882,3326,1.08,843058
India,INR,₹,Arunachal Pradesh,Siang,0.0,0.0,27380,11240,715,5891,1.06,600145
India,INR,₹,Arunachal Pradesh,Upper Siang,0.0,0.0,33832,7391,1185,6957,1.34,707211
India,INR,₹,Arunachal Pradesh,Lower Siang,0.0,0.0,34371,6599,1237,5081,1.4,702595
India,INR,₹,Arunachal Pradesh,Lower Dibang Valley,0.0,0.0,35790,7846,1658,3827,1.15,791467
India,INR,₹,Arunachal Pradesh,Dibang Valley,0.0,0.0,42254,6298,1510,4094,1.08,829594
India,INR,₹,Arunachal Pradesh,Anjaw,0.0,0.0,40947,8515,1520,4248,1.13,842784
India,INR,₹,Arunachal Pradesh,Lohit,0.0,0.0,38437,10735,1687,4421,1.2,865219
India,INR,₹,Arunachal Pradesh,Namsai,0.0,0.0,45856,9803,1527,3002,1.2,911968
India,INR,₹,Arunachal Pradesh,Changlang,0.0,0.0,33981,7400,1601,3715,1.15,755297
India,INR,₹,Arunachal Pradesh,Tirap,0.0,0.0,47333,10243,1282,5447,1.02,910447
India,INR,₹,Arunachal Pradesh,Longding,0.0,0.0,33098,7682,721,5314,1.12,624080
India,INR,₹,Assam,Baksa,0.0,0.0,49639,6875,1316,4981,1.12,900473
India,INR,₹,Assam,Barpeta,0.0,0.0,38007,6752,748,6470,1.1,681658
India,INR,₹,Assam,Biswanath,0.0,0.0,48693,6635,1198,5892,1.08,873096
India,INR,₹,Assam,Bongaigaon,0.0,0.0,30814,6643,1176,3209,1.37,641929
India,INR,₹,Assam,Cachar,0.0,0.0,25293,11346,707,5161,1.1,571523
India,INR,₹,Assam,Charaideo,0.0,0.0,29507,7689,1199,3816,1.06,645282
India,INR,₹,Assam,Chirang,0.0,0.0,37076,8957,1093,5021,1.04,741451
India,INR,₹,Assam,Darrang,0.0,0.0,44460,6286,1467,6505,1.01,861527
