country,currency,currency_symbol,state,city,latitude,longitude,fiber_per_km,labor_per_km,connector_cost,maintenance_per_km,terrain_multiplier,estimated_total_project_cost
UK,GBP,£,England,London,0,0,213540,77259,9705,59523,2.23,5242953
UK,GBP,£,England,Manchester,0,0,263943,108162,12903,30228,2.98,6551850
UK,GBP,£,England,Liverpool,0,0,83352,29781,4785,16443,1.06,2157561
UK,GBP,£,England,Birmingham,0,0,110694,23580,5211,20586,1.01,2495868
UK,GBP,£,England,Leeds,0,0,107319,19182,4131,17589,1.12,2225607
UK,GBP,£,England,Bristol,0,0,110304,19359,3222,15459,1.16,2116551
UK,GBP,£,England,Sheffield,0,0,141309,27387,3090,12447,1.05,2550087
UK,GBP,£,England,Nottingham,0,0,81006,30645,3444,12903,1.33,1920927
UK,GBP,£,England,Leicester,0,0,102093,20436,3411,15372,1.17,2058858
UK,GBP,£,England,Coventry,0,0,114975,33537,4800,18738,1.08,2595834
UK,GBP,£,England,Newcastle,0,0,92025,21516,5268,17820,1.31,2241792
UK,GBP,£,England,York,0,0,107748,30345,5052,17826,1.32,2504046
UK,GBP,£,Scotland,Glasgow,0,0,103797,21543,2511,17205,1.05,1966755
UK,GBP,£,Scotland,Edinburgh,0,0,91872,34263,4458,18036,1.14,2272500
UK,GBP,£,Scotland,Aberdeen,0,0,130587,26628,4686,13707,1.07,2658015
UK,GBP,£,Scotland,Dundee,0,0,120381,26355,5118,17817,1.11,2617617
UK,GBP,£,Scotland,Inverness,0,0,98616,28503,4785,11709,1.1,2301723
UK,GBP,£,Wales,Cardiff,0,0,119202,26667,5061,11037,1.31,2564763
UK,GBP,£,Wales,Swansea,0,0,133389,22281,2844,12606,1.21,2357670
UK,GBP,£,Wales,Newport,0,0,99627,27618,3447,9273,1.26,2090355
UK,GBP,£,Northern Ireland,Belfast,0,0,115602,35046,3597,10920,1.12,2401926
UK,GBP,£,Northern Ireland,Derry,0,0,107853,33453,4686,15543,1.3,2476287
UK,GBP,£,Northern Ireland,Lisburn,0,0,113514,31992,3381,14019,1.34,2323317
