country,currency,currency_symbol,state,city,latitude,longitude,fiber_per_km,labor_per_km,connector_cost,maintenance_per_km,terrain_multiplier,estimated_total_project_cost
USA,USD,$,California,Los Angeles,0,0,267057,89827,13947,41842,2.98,6583868
USA,USD,$,California,San Francisco,0,0,406581,139041,15347,61540,2.06,9157214
USA,USD,$,California,San Diego,0,0,111408,37264,5022,24220,1.31,2658464
USA,USD,$,California,Sacramento,0,0,145894,36886,5939,19379,1.18,3181105
USA,USD,$,California,Oakland,0,0,97482,40390,2943,16705,1.35,2179439
USA,USD,$,California,Fresno,0,0,171500,34821,5292,18091,1.28,3360107
USA,USD,$,California,Bakersfield,0,0,132825,24773,4032,14381,1.22,2567881
USA,USD,$,California,Anaheim,0,0,108465,30082,3867,17556,1.29,2330394
USA,USD,$,California,Long Beach,0,0,106606,33883,5113,17643,1.38,2541033
USA,USD,$,California,Irvine,0,0,90471,41160,5015,23208,1.08,2447862
USA,USD,$,Texas,Houston,0,0,116830,34695,5288,15988,1.07,2691440
USA,USD,$,Texas,Dallas,0,0,136738,29683,4550,15806,1.34,2758582
USA,USD,$,Texas,Austin,0,0,140875,25578,4266,16642,1.36,2720546
USA,USD,$,Texas,San Antonio,0,0,100226,41443,4886,19995,1.3,2532903
USA,USD,$,Texas,Fort Worth,0,0,167135,30215,4000,19460,1.06,3065500
USA,USD,$,Texas,El Paso,0,0,93996,38027,5033,11291,1.31,2395681
USA,USD,$,Florida,Miami,0,0,123840,25273,5414,21371,1.16,2708311
USA,USD,$,Florida,Orlando,0,0,95273,32686,6230,23247,1.08,2586243
USA,USD,$,Florida,Tampa,0,0,161675,32784,6149,23856,1.25,3375138
USA,USD,$,Florida,Jacksonville,0,0,164496,25623,4385,23873,1.01,3058543
USA,USD,$,Florida,Tallahassee,0,0,96680,37012,4238,12596,1.15,2302984
USA,USD,$,New York,New York City,0,0,212243,62471,9674,27167,1.64,4883503
USA,USD,$,New York,Buffalo,0,0,167765,40113,2887,13100,1.07,2993086
USA,USD,$,New York,Albany,0,0,107254,28080,4354,22942,1.18,2391818
USA,USD,$,New York,Rochester,0,0,173477,30509,3797,22092,1.01,3127842
USA,USD,$,New York,Syracuse,0,0,168073,28973,4462,17612,1.04,3121912
USA,USD,$,Illinois,Chicago,0,0,312833,113438,13765,87062,1.96,7615312
USA,USD,$,Illinois,Aurora,0,0,127274,38829,4210,17720,1.18,2713336
USA,USD,$,Illinois,Naperville,0,0,162578,30530,3419,23943,1.2,2949861
USA,USD,$,Illinois,Rockford,0,0,131509,31307,3185,13650,1.18,2499792
USA,USD,$,Pennsylvania,Philadelphia,0,0,102287,25378,6254,16093,1.07,2550545
USA,USD,$,Pennsylvania,Pittsburgh,0,0,150132,36074,3206,17972,1.16,2805232
USA,USD,$,Pennsylvania,Allentown,0,0,104324,33054,3356,15498,1.05,2229426
USA,USD,$,Pennsylvania,Erie,0,0,93415,36837,4165,14679,1.23,2261169
USA,USD,$,Ohio,Columbus,0,0,158088,27205,2821,19022,1.34,2741776
USA,USD,$,Ohio,Cleveland,0,0,157689,41342,4728,16194,1.19,3178542
USA,USD,$,Ohio,Cincinnati,0,0,125930,22232,3937,17073,1.05,2453859
USA,USD,$,Ohio,Toledo,0,0,94570,38003,4774,23754,1.37,2425746
USA,USD,$,Georgia,Atlanta,0,0,142033,27261,5992,23803,1.07,3049343
USA,USD,$,Georgia,Savannah,0,0,137774,32921,3787,11571,1.2,2674245
USA,USD,$,Georgia,Augusta,0,0,122500,30905,3328,13156,1.4,2405840
USA,USD,$,Georgia,Athens,0,0,173929,32364,3395,19831,1.32,3083921
USA,USD,$,Washington,Seattle,0,0,165168,27688,3524,20909,1.15,2947417
USA,USD,$,Washington,Spokane,0,0,170954,22508,2817,16929,1.35,2828739
USA,USD,$,Washington,Tacoma,0,0,172151,35570,5677,16754,1.07,3427972
USA,USD,$,Washington,Olympia,0,0,156030,36375,5229,22781,1.33,3207115
